teamNumber,matchNumber,avgHopperShotTime,avgKeyShotTime,didBecomeIncapacitated,didLiftoff,didStartDisabled,disfunctionalPercentage,drivingAbility,liftoffAbility,liftoffTime,lowShotTimesForBoilerAuto,lowShotTimesForBoilerTele,numGearsEjectedTele,numGearsFumbledTele,numGearsPlacedAuto,numGearsPlacedTele,numGroundGearIntakesTele,numHighShotsAuto,numHighShotsTele,numHoppersUsedAuto,numHoppersUsedTele,numHumanGearIntakesTele,numLowShotsAuto,numLowShotsTele,numRPs,rankAgility,rankBallControl,rankDefense,rankGearControl,rankSpeed,scoutName,superNotes,wasDisfunctional
2813,66,,7.25,False,True,False,0.0,,50,13.677,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,1.5,0,0,0,0,0,2,0,0,0,2,0,0,1,1,"['Jack', 'Noemi', 'Teo', 'Kenny']",,False
1323,60,10.0,,False,True,False,0.0,,50,7.1175,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,4,3.5,21.790588235294116,35.28,1,1.5,0.5,0.0,0.0,2,3,3,0,3,3,"['Kenny', 'Justin']","climbed
side auto didn't work",False
9255,65,,7.466666666666666,False,True,False,0.0,,50,7.180333333333333,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1.0,0,2,0,11.016037247801345,13.618727366787374,0,0,2,0.0,0.0,2,3,0,0,1,3,"['Jack', 'Noah', 'Kenny']",,False
,,,,False,False,False,,,,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,,,2,,,0,0,0,,,,,,,,,"['Kate', 'Aidan']",,
3482,49,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0.5,2.0,0,3,4.5,0,0,0,0,0,0,0,0,3,0,0,2,3,"['Astha', 'Calvin']",didn't climb,False
3303,32,,,True,False,False,0.5,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,"['Gemma', 'Aidan', 'Louise']",,True
8973,10,,,False,True,False,0.0,,50,2.009,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,2,"['Jack', 'Ellie', 'Caroline']",climbing: didn't make it all the way up,False
8973,17,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,3,0,0,0,0,0,1.6666666666666667,0,0,2,2,0,0,2,3,"['Zoravar', 'aidan', 'Jack']",unable to ascend,False
2659,62,,,False,False,False,0.0,,0,,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,1,4,5,0.0,0.0,0,0,0,0.0,0.0,1,3,0,0,2,3,"['Aidan', 'Kenny', 'Ellie']",,False
4255,64,12.166666666666666,7.166666666666667,False,True,False,0.0,,50,12.095999999999998,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,0,2,3,0,0,0,0,0,0,0,0,3,0,0,1,1,"['Teo', 'Noemi', 'Jack']",,False
971,62,9.0,12.111111111111112,False,True,False,0.0,,50,4.384,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,0,9.025485436893204,28.55825242718447,1,2,1,0.0,0.0,1,2,3,0,3,2,"['Michael', 'Alex', 'Nick']",,False
8678,53,,,True,False,False,0.5,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,"['Louise', 'Jack', 'Caroline']","didn't climb
scored gear in auto
",True
973,64,12.0,8.4,False,True,False,0.0,,50,3.67,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,3,2,29.79946091644205,50.33692722371968,0,1,0,0.0,0.0,3,2,3,0,3,2,['Amanda'],climbed,False
9817,27,,,False,False,False,,,,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,,,0,,,0,0,0,,,,,,,,,['Caroline'],,
3303,27,,,False,True,False,,,,3.4363333333333337,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,,,1,,,0,0,0,,,,,,,,,"['\nRachel', 'Tim', 'Ellie']",,
