team,home championship,,,
2574,St. Louis,,,
2576,Houston,,,
2577,St. Louis,,,
2579,St. Louis,,,
2582,Houston,,,
2583,Houston,,,
2585,Houston,,,
2586,St. Louis,,,
2587,Houston,,,
2590,St. Louis,,,
2591,St. Louis,,,
2594,Houston,,,
2600,St. Louis,,,
2601,St. Louis,,,
2603,St. Louis,,,
2604,St. Louis,,,
2605,Houston,,,
2606,St. Louis,,,
2607,St. Louis,,,
2609,St. Louis,,,
2611,St. Louis,,,
2612,St. Louis,,,
2613,Houston,,,
2614,St. Louis,,,
2619,St. Louis,,,
2620,St. Louis,,,
2626,St. Louis,,,
2630,Houston,,,
2632,St. Louis,,,
2634,St. Louis,,,
2635,Houston,,,
2637,Houston,,,
2638,St. Louis,,,
2640,Houston,,,
2641,St. Louis,,,
2642,Houston,,,
2643,Houston,,,
2647,Houston,,,
2648,St. Louis,,,
2654,St. Louis,,,
2655,Houston,,,
2656,St. Louis,,,
2657,Houston,,,
2658,Houston,,,
2659,Houston,,,
2662,Houston,,,
2667,St. Louis,,,
2673,St. Louis,,,
2676,St. Louis,,,
2679,Houston,,,
2682,Houston,,,
2702,St. Louis,,,
2704,St. Louis,,,
2706,St. Louis,,,
2707,St. Louis,,,
2708,St. Louis,,,
2709,St. Louis,,,
2713,St. Louis,,,
2721,Houston,,,
2723,Houston,,,
2725,St. Louis,,,
2729,St. Louis,,,
2733,Houston,,,
2761,Houston,,,
2765,Houston,,,
2767,St. Louis,,,
2771,St. Louis,,,
2773,Houston,,,
2781,St. Louis,,,
2783,St. Louis,,,
2785,St. Louis,,,
2789,Houston,,,
2791,St. Louis,,,
2795,Houston,,,
2797,Houston,,,
2805,Houston,,,
2811,Houston,,,
2813,Houston,,,
2815,Houston,,,
2819,St. Louis,,,
2823,St. Louis,,,
2825,St. Louis,,,
2826,St. Louis,,,
2827,Houston,,,
2830,St. Louis,,,
2832,St. Louis,,,
2834,St. Louis,,,
2836,St. Louis,,,
2838,St. Louis,,,
2839,Houston,,,
2840,Houston,,,
2844,Houston,,,
2846,St. Louis,,,
2847,St. Louis,,,
2848,Houston,,,
2849,St. Louis,,,
2851,St. Louis,,,
2852,St. Louis,,,
2853,Houston,,,
2854,Houston,,,
2855,St. Louis,,,
2856,St. Louis,,,
2861,St. Louis,,,
2867,St. Louis,,,
2869,St. Louis,,,
2872,St. Louis,,,
2874,St. Louis,,,
2875,St. Louis,,,
2876,St. Louis,,,
2877,St. Louis,,,
2879,St. Louis,,,
2881,Houston,,,
2882,Houston,,,
2883,St. Louis,,,
2890,St. Louis,,,
2895,St. Louis,,,
2896,Houston,,,
2897,Houston,,,
2898,Houston,,,
2900,St. Louis,,,
2903,Houston,,,
2905,Houston,,,
2906,Houston,,,
2907,Houston,,,
2909,St. Louis,,,
2910,Houston,,,
2911,St. Louis,,,
2912,St. Louis,,,
2914,St. Louis,,,
2915,Houston,,,
2916,Houston,,,
2923,Houston,,,
2926,Houston,,,
2928,Houston,,,
2929,Houston,,,
2930,Houston,,,
2935,St. Louis,,,
2942,Houston,,,
2944,Houston,,,
2945,Houston,,,
2950,Houston,,,
2957,St. Louis,,,
2959,St. Louis,,,
2960,St. Louis,,,
2961,St. Louis,,,
2964,St. Louis,,,
2969,Houston,,,
2972,Houston,,,
2973,Houston,,,
2974,Houston,,,
2976,Houston,,,
2977,St. Louis,,,
2978,St. Louis,,,
2980,Houston,,,
2984,Houston,,,
2986,Houston,,,
2987,St. Louis,,,
2988,St. Louis,,,
2989,St. Louis,,,
2990,Houston,,,
2992,Houston,,,
2993,Houston,,,
